"t","Ta","Tinner","Touter","Pinner","Pouter"
1706102110,22.81,26.913,26,0,0
1706102120,22.81,26.8806,26,0,0
1706102130,22.81,26.88,26,0,0
1706102140,22.81,26.88,25.9832,0,0
1706102150,22.81,26.8548,25.9418,0,0
1706102160,22.81,26.8107,25.94,0,0
1706102170,22.81,26.81,25.94,0,0
1706102180,22.81,26.81,25.94,0,0
1706102190,22.81,26.81,25.94,210,0
1706102200,22.81,27.1484,25.94,300,0
1706102210,22.81,28.259,25.94,90,0
1706102220,22.8485,29.4456,25.94,0,0
1706102230,22.8415,29.9757,25.94,0,0
1706102240,22.81,30.0372,25.94,0,0
1706102250,22.8485,29.979,25.9568,0,0
1706102260,22.88,29.919,25.9982,0,0
1706102270,22.88,29.8554,26,0,0
1706102280,22.88,29.8107,26,0,0
1706102290,22.88,29.7884,26,180,0
1706102300,22.88,30.0206,26.0168,300,0
1706102310,22.88,30.9893,26.0582,300,0
1706102320,22.88,32.4062,26.06,300,0
1706102330,22.88,33.9266,26.0768,120,0
1706102340,22.88,35.1944,26.1182,0,0
1706102350,22.88,35.7041,26.12,0,0
1706102360,22.88,35.7278,26.1396,0,0
1706102370,22.88,35.6438,26.2047,0,0
1706102380,22.88,35.5181,26.2482,0,0
1706102390,22.88,35.3728,26.2668,0,210
1706102400,22.88,35.2051,26.395,0,300
1706102410,22.88,35.0781,26.7507,150,300
1706102420,22.88,35.1812,27.2814,300,300
1706102430,22.88,35.9666,27.9075,300,90
1706102440,22.88,37.3153,28.4815,300,0
1706102450,22.88,38.754,28.8335,300,0
1706102460,22.913,40.2156,28.9529,300,0
1706102470,22.94,41.6898,29.015,150,0
1706102480,22.94,42.9009,29.0582,0,0
1706102490,22.94,43.4534,29.0768,0,0
1706102500,22.94,43.431,29.1378,0,0
1706102510,22.94,43.2435,29.2047,0,0
1706102520,22.94,43.0571,29.265,0,0
1706102530,22.94,42.8518,29.3278,0,0
1706102540,22.94,42.6241,29.3947,0,0
1706102550,22.94,42.4335,29.455,120,0
1706102560,22.94,42.4235,29.515,300,0
1706102570,22.94,43.0453,29.5582,300,0
1706102580,22.94,44.2949,29.5964,300,0
1706102590,22.94,45.6694,29.6861,180,0
1706102600,22.94,46.8415,29.7236,0,0
1706102610,22.94,47.3934,29.826,0,0
1706102620,22.973,47.3494,29.8947,0,0
1706102630,23,47.1025,29.955,0,0
1706102640,22.967,46.8525,30.015,0,0
1706102650,22.973,46.5809,30.075,0,0
1706102660,23,46.2895,30.1378,0,0
1706102670,23,46.0362,30.2215,0,0
1706102680,23,45.7672,30.326,0,0
1706102690,23,45.4732,30.3947,0,0
1706102700,23,45.2225,30.455,0,0
1706102710,22.967,44.9725,30.515,0,0
1706102720,22.973,44.7225,30.5582,0,0
1706102730,23,44.4977,30.5964,0,0
1706102740,23,44.2882,30.6861,0,0
1706102750,23,44.0578,30.7068,90,180
1706102760,23,44.0066,30.835,300,300
1706102770,23,44.5034,31.1907,300,300
1706102780,23,45.6509,31.7214,300,300
1706102790,23,46.9837,32.3643,210,300
1706102800,23,48.2262,33.0329,0,300
1706102810,23,48.8916,33.655,0,300
1706102820,23,48.871,34.2946,0,300
1706102830,23,48.6835,34.9825,0,120
1706102840,23,48.4719,35.6025,0,0
1706102850,23,48.2225,35.9604,0,0
1706102860,23,47.9977,36.0928,0,0
1706102870,23,47.7882,36.1861,60,0
1706102880,23,47.691,36.2068,300,0
1706102890,23,48.1681,36.2482,240,0
1706102900,23.033,49.1852,36.2668,0,0
1706102910,23.06,49.9125,36.3278,0,0
1706102920,23.06,49.9556,36.3779,0,0
1706102930,23.06,49.8128,36.3968,0,0
1706102940,23.06,49.6019,36.455,0,0
1706102950,23.06,49.3525,36.4982,0,0
1706102960,23.06,49.1025,36.5168,0,0
1706102970,23.06,48.8525,36.575,30,0
1706102980,23.06,48.7141,36.6182,300,0
1706102990,23.06,49.1094,36.6396,270,0
1706103000,23.06,50.1216,36.6879,0,0
1706103010,23.06,50.8678,36.7068,0,0
1706103020,23.06,50.9549,36.765,0,0
1706103030,23.06,50.7876,36.8278,0,0
1706103040,23.06,50.5362,36.8779,0,0
1706103050,23.093,50.2888,36.8968,0,0
1706103060,23.087,50.0362,36.955,0,0
1706103070,23.06,49.7888,36.9982,0,150
1706103080,23.093,49.6226,37.07,300,300
1706103090,23.087,49.9152,37.3825,300,300
1706103100,23.06,50.9034,37.9114,300,300
1706103110,23.093,52.2085,38.5347,300,150
1706103120,23.12,53.5221,39.1214,300,0
1706103130,23.12,54.86,39.5186,300,0
1706103140,23.12,56.2079,39.6528,300,0
1706103150,23.12,57.5221,39.7629,300,0
1706103160,23.087,58.8384,39.8278,300,0
1706103170,23.093,60.1269,39.8947,300,0
1706103180,23.12,61.3775,39.955,300,0
1706103190,23.12,62.6275,40.015,300,120
1706103200,23.12,63.8091,40.1282,30,300
1706103210,23.12,64.511,40.4425,0,300
1706103220,23.12,64.4478,40.9882,0,300
1706103230,23.12,64.1199,41.6725,0,180
1706103240,23.12,63.7253,42.3261,0,0
1706103250,23.12,63.286,42.8032,0,0
1706103260,23.12,62.8676,43.0093,0,0
1706103270,23.12,62.469,43.0946,0,0
1706103280,23.12,62.0575,43.2029,0,0
1706103290,23.12,61.6806,43.2482,0,0
1706103300,23.12,61.3069,43.2668,0,0
1706103310,23.12,60.9306,43.3278,0,0
1706103320,23.12,60.5821,43.3947,0,0
1706103330,23.12,60.2463,43.455,0,0
1706103340,23.12,59.8922,43.515,0,0
1706103350,23.12,59.5815,43.5582,0,0
1706103360,23.12,59.2463,43.5768,0,0
1706103370,23.1585,58.8922,43.6182,0,0
1706103380,23.19,58.6031,43.6396,0,0
1706103390,23.19,58.3273,43.7047,0,90
1706103400,23.19,58.0116,43.7846,0,300
1706103410,23.19,57.7015,43.9965,0,300
1706103420,23.19,57.4131,44.4735,0,300
1706103430,23.19,57.1625,45.0779,0,300
1706103440,23.19,56.9125,45.6568,0,300
1706103450,23.19,56.6625,46.2778,0,300
1706103460,23.1515,56.4125,46.9075,0,300
1706103470,23.1585,56.1625,47.5347,0,300
1706103480,23.19,55.9341,48.1382,0,300
1706103490,23.19,55.7435,48.7,0,300
1706103500,23.19,55.5571,49.2796,0,300
1706103510,23.19,55.3734,49.8879,0,300
1706103520,23.19,55.2051,50.4528,0,300
1706103530,23.19,55.0781,51.0365,0,300
1706103540,23.19,54.958,51.6382,0,300
1706103550,23.19,54.8344,52.1832,0,210
1706103560,23.19,54.7045,52.685,0,0
1706103570,23.19,54.5781,53.0618,0,0
1706103580,23.19,54.4796,53.1182,0,0
1706103590,23.19,54.3938,53.1032,0,0
1706103600,23.223,54.3365,53.045,270,0
1706103610,23.217,54.7393,52.985,300,0
1706103620,23.19,55.8416,52.925,60,0
1706103630,23.19,56.8569,52.8622,0,60
1706103640,23.19,57.185,52.8121,0,300
1706103650,23.19,57.1432,52.9164,0,300
1706103660,23.19,57.0181,53.3186,0,300
1706103670,23.19,56.8944,53.815,0,240
1706103680,23.223,56.7681,54.315,0,0
1706103690,23.25,56.6444,54.7086,0,0
1706103700,23.25,56.5181,54.7896,0,0
1706103710,23.25,56.3944,54.735,0,0
1706103720,23.217,56.2897,54.6722,0,0
1706103730,23.223,56.2038,54.6053,0,0
1706103740,23.25,56.0997,54.545,0,0
